day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/01/23,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/01/24,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/01/25,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/01/26,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/01/27,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/01/28,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/01/29,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/01/30,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/01/31,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/01,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/02,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/03,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/04,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/05,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/06,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/07,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/08,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/09,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/10,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/11,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/12,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/13,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/14,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/15,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/16,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/17,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/18,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/19,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/20,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/21,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/22,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/23,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/24,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/25,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/26,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/27,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/28,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/02/29,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/01,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/02,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/03,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/04,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/05,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/06,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/07,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/08,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/09,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/10,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/11,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/12,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/13,GT,Guatemala,Americas,15.5,-90.25,0,0,0
2020/03/14,GT,Guatemala,Americas,15.5,-90.25,1,0,0
2020/03/15,GT,Guatemala,Americas,15.5,-90.25,1,0,0
2020/03/16,GT,Guatemala,Americas,15.5,-90.25,2,0,1
2020/03/17,GT,Guatemala,Americas,15.5,-90.25,6,0,1
2020/03/18,GT,Guatemala,Americas,15.5,-90.25,6,0,1
2020/03/19,GT,Guatemala,Americas,15.5,-90.25,9,0,1
2020/03/20,GT,Guatemala,Americas,15.5,-90.25,12,0,1
2020/03/21,GT,Guatemala,Americas,15.5,-90.25,17,0,1
2020/03/22,GT,Guatemala,Americas,15.5,-90.25,19,0,1
2020/03/23,GT,Guatemala,Americas,15.5,-90.25,20,0,1
2020/03/24,GT,Guatemala,Americas,15.5,-90.25,21,0,1
2020/03/25,GT,Guatemala,Americas,15.5,-90.25,24,4,1
2020/03/26,GT,Guatemala,Americas,15.5,-90.25,25,4,1
2020/03/27,GT,Guatemala,Americas,15.5,-90.25,28,4,1
2020/03/28,GT,Guatemala,Americas,15.5,-90.25,34,10,1
2020/03/29,GT,Guatemala,Americas,15.5,-90.25,34,10,1
2020/03/30,GT,Guatemala,Americas,15.5,-90.25,36,10,1
2020/03/31,GT,Guatemala,Americas,15.5,-90.25,38,12,1
2020/04/01,GT,Guatemala,Americas,15.5,-90.25,39,12,1
2020/04/02,GT,Guatemala,Americas,15.5,-90.25,47,12,1
2020/04/03,GT,Guatemala,Americas,15.5,-90.25,50,12,1
2020/04/04,GT,Guatemala,Americas,15.5,-90.25,61,15,2
2020/04/05,GT,Guatemala,Americas,15.5,-90.25,70,15,3
2020/04/06,GT,Guatemala,Americas,15.5,-90.25,70,15,3
2020/04/07,GT,Guatemala,Americas,15.5,-90.25,77,17,3
2020/04/08,GT,Guatemala,Americas,15.5,-90.25,87,17,3
