day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,CO,Colombia,Americas,4,-72,0,0,0
2020/01/23,CO,Colombia,Americas,4,-72,0,0,0
2020/01/24,CO,Colombia,Americas,4,-72,0,0,0
2020/01/25,CO,Colombia,Americas,4,-72,0,0,0
2020/01/26,CO,Colombia,Americas,4,-72,0,0,0
2020/01/27,CO,Colombia,Americas,4,-72,0,0,0
2020/01/28,CO,Colombia,Americas,4,-72,0,0,0
2020/01/29,CO,Colombia,Americas,4,-72,0,0,0
2020/01/30,CO,Colombia,Americas,4,-72,0,0,0
2020/01/31,CO,Colombia,Americas,4,-72,0,0,0
2020/02/01,CO,Colombia,Americas,4,-72,0,0,0
2020/02/02,CO,Colombia,Americas,4,-72,0,0,0
2020/02/03,CO,Colombia,Americas,4,-72,0,0,0
2020/02/04,CO,Colombia,Americas,4,-72,0,0,0
2020/02/05,CO,Colombia,Americas,4,-72,0,0,0
2020/02/06,CO,Colombia,Americas,4,-72,0,0,0
2020/02/07,CO,Colombia,Americas,4,-72,0,0,0
2020/02/08,CO,Colombia,Americas,4,-72,0,0,0
2020/02/09,CO,Colombia,Americas,4,-72,0,0,0
2020/02/10,CO,Colombia,Americas,4,-72,0,0,0
2020/02/11,CO,Colombia,Americas,4,-72,0,0,0
2020/02/12,CO,Colombia,Americas,4,-72,0,0,0
2020/02/13,CO,Colombia,Americas,4,-72,0,0,0
2020/02/14,CO,Colombia,Americas,4,-72,0,0,0
2020/02/15,CO,Colombia,Americas,4,-72,0,0,0
2020/02/16,CO,Colombia,Americas,4,-72,0,0,0
2020/02/17,CO,Colombia,Americas,4,-72,0,0,0
2020/02/18,CO,Colombia,Americas,4,-72,0,0,0
2020/02/19,CO,Colombia,Americas,4,-72,0,0,0
2020/02/20,CO,Colombia,Americas,4,-72,0,0,0
2020/02/21,CO,Colombia,Americas,4,-72,0,0,0
2020/02/22,CO,Colombia,Americas,4,-72,0,0,0
2020/02/23,CO,Colombia,Americas,4,-72,0,0,0
2020/02/24,CO,Colombia,Americas,4,-72,0,0,0
2020/02/25,CO,Colombia,Americas,4,-72,0,0,0
2020/02/26,CO,Colombia,Americas,4,-72,0,0,0
2020/02/27,CO,Colombia,Americas,4,-72,0,0,0
2020/02/28,CO,Colombia,Americas,4,-72,0,0,0
2020/02/29,CO,Colombia,Americas,4,-72,0,0,0
2020/03/01,CO,Colombia,Americas,4,-72,0,0,0
2020/03/02,CO,Colombia,Americas,4,-72,0,0,0
2020/03/03,CO,Colombia,Americas,4,-72,0,0,0
2020/03/04,CO,Colombia,Americas,4,-72,0,0,0
2020/03/05,CO,Colombia,Americas,4,-72,0,0,0
2020/03/06,CO,Colombia,Americas,4,-72,1,0,0
2020/03/07,CO,Colombia,Americas,4,-72,1,0,0
2020/03/08,CO,Colombia,Americas,4,-72,1,0,0
2020/03/09,CO,Colombia,Americas,4,-72,1,0,0
2020/03/10,CO,Colombia,Americas,4,-72,3,0,0
2020/03/11,CO,Colombia,Americas,4,-72,9,0,0
2020/03/12,CO,Colombia,Americas,4,-72,9,0,0
2020/03/13,CO,Colombia,Americas,4,-72,13,0,0
2020/03/14,CO,Colombia,Americas,4,-72,22,0,0
2020/03/15,CO,Colombia,Americas,4,-72,34,0,0
2020/03/16,CO,Colombia,Americas,4,-72,54,0,0
2020/03/17,CO,Colombia,Americas,4,-72,65,1,0
2020/03/18,CO,Colombia,Americas,4,-72,93,1,0
2020/03/19,CO,Colombia,Americas,4,-72,102,1,0
2020/03/20,CO,Colombia,Americas,4,-72,128,1,0
2020/03/21,CO,Colombia,Americas,4,-72,196,1,0
2020/03/22,CO,Colombia,Americas,4,-72,231,3,2
2020/03/23,CO,Colombia,Americas,4,-72,277,3,3
2020/03/24,CO,Colombia,Americas,4,-72,378,6,3
2020/03/25,CO,Colombia,Americas,4,-72,470,8,4
