day,countryCode,countryName,region,lat,lon,confirmed,recovered,death
2020/01/22,KH,Cambodia,Asia,13,105,0,0,0
2020/01/23,KH,Cambodia,Asia,13,105,0,0,0
2020/01/24,KH,Cambodia,Asia,13,105,0,0,0
2020/01/25,KH,Cambodia,Asia,13,105,0,0,0
2020/01/26,KH,Cambodia,Asia,13,105,0,0,0
2020/01/27,KH,Cambodia,Asia,13,105,1,0,0
2020/01/28,KH,Cambodia,Asia,13,105,1,0,0
2020/01/29,KH,Cambodia,Asia,13,105,1,0,0
2020/01/30,KH,Cambodia,Asia,13,105,1,0,0
2020/01/31,KH,Cambodia,Asia,13,105,1,0,0
2020/02/01,KH,Cambodia,Asia,13,105,1,0,0
2020/02/02,KH,Cambodia,Asia,13,105,1,0,0
2020/02/03,KH,Cambodia,Asia,13,105,1,0,0
2020/02/04,KH,Cambodia,Asia,13,105,1,0,0
2020/02/05,KH,Cambodia,Asia,13,105,1,0,0
2020/02/06,KH,Cambodia,Asia,13,105,1,0,0
2020/02/07,KH,Cambodia,Asia,13,105,1,0,0
2020/02/08,KH,Cambodia,Asia,13,105,1,0,0
2020/02/09,KH,Cambodia,Asia,13,105,1,0,0
2020/02/10,KH,Cambodia,Asia,13,105,1,0,0
2020/02/11,KH,Cambodia,Asia,13,105,1,0,0
2020/02/12,KH,Cambodia,Asia,13,105,1,1,0
2020/02/13,KH,Cambodia,Asia,13,105,1,1,0
2020/02/14,KH,Cambodia,Asia,13,105,1,1,0
2020/02/15,KH,Cambodia,Asia,13,105,1,1,0
2020/02/16,KH,Cambodia,Asia,13,105,1,1,0
2020/02/17,KH,Cambodia,Asia,13,105,1,1,0
2020/02/18,KH,Cambodia,Asia,13,105,1,1,0
2020/02/19,KH,Cambodia,Asia,13,105,1,1,0
2020/02/20,KH,Cambodia,Asia,13,105,1,1,0
2020/02/21,KH,Cambodia,Asia,13,105,1,1,0
2020/02/22,KH,Cambodia,Asia,13,105,1,1,0
2020/02/23,KH,Cambodia,Asia,13,105,1,1,0
2020/02/24,KH,Cambodia,Asia,13,105,1,1,0
2020/02/25,KH,Cambodia,Asia,13,105,1,1,0
2020/02/26,KH,Cambodia,Asia,13,105,1,1,0
2020/02/27,KH,Cambodia,Asia,13,105,1,1,0
2020/02/28,KH,Cambodia,Asia,13,105,1,1,0
2020/02/29,KH,Cambodia,Asia,13,105,1,1,0
2020/03/01,KH,Cambodia,Asia,13,105,1,1,0
2020/03/02,KH,Cambodia,Asia,13,105,1,1,0
2020/03/03,KH,Cambodia,Asia,13,105,1,1,0
2020/03/04,KH,Cambodia,Asia,13,105,1,1,0
2020/03/05,KH,Cambodia,Asia,13,105,1,1,0
2020/03/06,KH,Cambodia,Asia,13,105,1,1,0
2020/03/07,KH,Cambodia,Asia,13,105,1,1,0
2020/03/08,KH,Cambodia,Asia,13,105,2,1,0
2020/03/09,KH,Cambodia,Asia,13,105,2,1,0
2020/03/10,KH,Cambodia,Asia,13,105,2,1,0
2020/03/11,KH,Cambodia,Asia,13,105,3,1,0
2020/03/12,KH,Cambodia,Asia,13,105,3,1,0
2020/03/13,KH,Cambodia,Asia,13,105,5,1,0
2020/03/14,KH,Cambodia,Asia,13,105,7,1,0
2020/03/15,KH,Cambodia,Asia,13,105,7,1,0
2020/03/16,KH,Cambodia,Asia,13,105,7,1,0
2020/03/17,KH,Cambodia,Asia,13,105,33,1,0
2020/03/18,KH,Cambodia,Asia,13,105,35,1,0
2020/03/19,KH,Cambodia,Asia,13,105,37,1,0
2020/03/20,KH,Cambodia,Asia,13,105,51,1,0
2020/03/21,KH,Cambodia,Asia,13,105,53,1,0
2020/03/22,KH,Cambodia,Asia,13,105,84,1,0
2020/03/23,KH,Cambodia,Asia,13,105,87,2,0
2020/03/24,KH,Cambodia,Asia,13,105,91,4,0
2020/03/25,KH,Cambodia,Asia,13,105,96,10,0
2020/03/26,KH,Cambodia,Asia,13,105,96,10,0
2020/03/27,KH,Cambodia,Asia,13,105,99,11,0
2020/03/28,KH,Cambodia,Asia,13,105,99,13,0
2020/03/29,KH,Cambodia,Asia,13,105,103,21,0
