day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,TD,Chad,Africa,15,19,0,0,0
2020/01/23,TD,Chad,Africa,15,19,0,0,0
2020/01/24,TD,Chad,Africa,15,19,0,0,0
2020/01/25,TD,Chad,Africa,15,19,0,0,0
2020/01/26,TD,Chad,Africa,15,19,0,0,0
2020/01/27,TD,Chad,Africa,15,19,0,0,0
2020/01/28,TD,Chad,Africa,15,19,0,0,0
2020/01/29,TD,Chad,Africa,15,19,0,0,0
2020/01/30,TD,Chad,Africa,15,19,0,0,0
2020/01/31,TD,Chad,Africa,15,19,0,0,0
2020/02/01,TD,Chad,Africa,15,19,0,0,0
2020/02/02,TD,Chad,Africa,15,19,0,0,0
2020/02/03,TD,Chad,Africa,15,19,0,0,0
2020/02/04,TD,Chad,Africa,15,19,0,0,0
2020/02/05,TD,Chad,Africa,15,19,0,0,0
2020/02/06,TD,Chad,Africa,15,19,0,0,0
2020/02/07,TD,Chad,Africa,15,19,0,0,0
2020/02/08,TD,Chad,Africa,15,19,0,0,0
2020/02/09,TD,Chad,Africa,15,19,0,0,0
2020/02/10,TD,Chad,Africa,15,19,0,0,0
2020/02/11,TD,Chad,Africa,15,19,0,0,0
2020/02/12,TD,Chad,Africa,15,19,0,0,0
2020/02/13,TD,Chad,Africa,15,19,0,0,0
2020/02/14,TD,Chad,Africa,15,19,0,0,0
2020/02/15,TD,Chad,Africa,15,19,0,0,0
2020/02/16,TD,Chad,Africa,15,19,0,0,0
2020/02/17,TD,Chad,Africa,15,19,0,0,0
2020/02/18,TD,Chad,Africa,15,19,0,0,0
2020/02/19,TD,Chad,Africa,15,19,0,0,0
2020/02/20,TD,Chad,Africa,15,19,0,0,0
2020/02/21,TD,Chad,Africa,15,19,0,0,0
2020/02/22,TD,Chad,Africa,15,19,0,0,0
2020/02/23,TD,Chad,Africa,15,19,0,0,0
2020/02/24,TD,Chad,Africa,15,19,0,0,0
2020/02/25,TD,Chad,Africa,15,19,0,0,0
2020/02/26,TD,Chad,Africa,15,19,0,0,0
2020/02/27,TD,Chad,Africa,15,19,0,0,0
2020/02/28,TD,Chad,Africa,15,19,0,0,0
2020/02/29,TD,Chad,Africa,15,19,0,0,0
2020/03/01,TD,Chad,Africa,15,19,0,0,0
2020/03/02,TD,Chad,Africa,15,19,0,0,0
2020/03/03,TD,Chad,Africa,15,19,0,0,0
2020/03/04,TD,Chad,Africa,15,19,0,0,0
2020/03/05,TD,Chad,Africa,15,19,0,0,0
2020/03/06,TD,Chad,Africa,15,19,0,0,0
2020/03/07,TD,Chad,Africa,15,19,0,0,0
2020/03/08,TD,Chad,Africa,15,19,0,0,0
2020/03/09,TD,Chad,Africa,15,19,0,0,0
2020/03/10,TD,Chad,Africa,15,19,0,0,0
2020/03/11,TD,Chad,Africa,15,19,0,0,0
2020/03/12,TD,Chad,Africa,15,19,0,0,0
2020/03/13,TD,Chad,Africa,15,19,0,0,0
2020/03/14,TD,Chad,Africa,15,19,0,0,0
2020/03/15,TD,Chad,Africa,15,19,0,0,0
2020/03/16,TD,Chad,Africa,15,19,0,0,0
2020/03/17,TD,Chad,Africa,15,19,0,0,0
2020/03/18,TD,Chad,Africa,15,19,0,0,0
2020/03/19,TD,Chad,Africa,15,19,1,0,0
2020/03/20,TD,Chad,Africa,15,19,1,0,0
2020/03/21,TD,Chad,Africa,15,19,1,0,0
2020/03/22,TD,Chad,Africa,15,19,1,0,0
2020/03/23,TD,Chad,Africa,15,19,1,0,0
