day,countryCode,countryName,region,lat,lon,confirmed,cured,death
2020/01/22,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/01/23,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/01/24,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/01/25,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/01/26,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/01/27,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/01/28,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/01/29,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/01/30,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/01/31,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/01,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/02,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/03,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/04,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/05,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/06,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/07,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/08,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/09,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/10,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/11,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/12,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/13,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/14,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/15,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/16,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/17,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/18,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/19,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/20,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/21,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/22,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/23,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/24,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/25,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/26,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/27,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/28,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/02/29,EC,Ecuador,Americas,-2,-77.5,0,0,0
2020/03/01,EC,Ecuador,Americas,-2,-77.5,6,0,0
2020/03/02,EC,Ecuador,Americas,-2,-77.5,6,0,0
2020/03/03,EC,Ecuador,Americas,-2,-77.5,7,0,0
2020/03/04,EC,Ecuador,Americas,-2,-77.5,10,0,0
2020/03/05,EC,Ecuador,Americas,-2,-77.5,13,0,0
2020/03/06,EC,Ecuador,Americas,-2,-77.5,13,0,0
2020/03/07,EC,Ecuador,Americas,-2,-77.5,13,0,0
2020/03/08,EC,Ecuador,Americas,-2,-77.5,14,0,0
2020/03/09,EC,Ecuador,Americas,-2,-77.5,15,0,0
2020/03/10,EC,Ecuador,Americas,-2,-77.5,15,0,0
2020/03/11,EC,Ecuador,Americas,-2,-77.5,17,0,0
2020/03/12,EC,Ecuador,Americas,-2,-77.5,17,0,0
2020/03/13,EC,Ecuador,Americas,-2,-77.5,17,0,0
2020/03/14,EC,Ecuador,Americas,-2,-77.5,28,0,2
2020/03/15,EC,Ecuador,Americas,-2,-77.5,28,0,2
2020/03/16,EC,Ecuador,Americas,-2,-77.5,37,0,2
2020/03/17,EC,Ecuador,Americas,-2,-77.5,58,0,2
2020/03/18,EC,Ecuador,Americas,-2,-77.5,111,0,2
2020/03/19,EC,Ecuador,Americas,-2,-77.5,199,0,3
2020/03/20,EC,Ecuador,Americas,-2,-77.5,367,0,5
2020/03/21,EC,Ecuador,Americas,-2,-77.5,506,3,7
2020/03/22,EC,Ecuador,Americas,-2,-77.5,789,3,14
2020/03/23,EC,Ecuador,Americas,-2,-77.5,981,3,18
